NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
PARTIDO REVOLUCIONARIO INSTITUCIONAL,21,SENADORES RP,MONTERO CASTILLO NELIDA,ROSTRO OLVERA ANDREA VIRIDIANA,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,22,SENADORES RP,CERVANTES MORALES ANTONIO,RIVAS ZAVALA JORGE ENRIQUE,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,23,SENADORES RP,OLVERA MELCHOR EDITH ALEJANDRA,HUERTA REA MARIA DE JESUS,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,24,SENADORES RP,HERNANDEZ CORREA EDUARDO,TELLEZ PONCE GEOVANY,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,25,SENADORES RP,MOLANO CASTILLO LIDIA,LU CARRILLO ANA ROSA,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,26,SENADORES RP,CRUZ ANAYA JESUS ANDREI,MENDEZ HINOJOSA JOSE MANUEL,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,27,SENADORES RP,RODARTE AYALA JOSEFINA,DOMINGUEZ REYES MARIA ESTELA,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,28,SENADORES RP,CASTILLO ROSADO ERNESTO,ROJANO DELGADO VICTOR ESTEBAN,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,29,SENADORES RP,FLORES PUERTOS KATHYA MARIA,CHAPA MONTOYA CINTHYA ELENA DEL CARMEN,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,30,SENADORES RP,CUESTA PEREZ OMAR VICTOR,GALICIA CANCINO JUAN FERNANDO,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,31,SENADORES RP,MARTINEZ CONTRERAS XOCHITL ANGELICA,OLIVERA BECERRIL ESDREY NARENDRA,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,32,SENADORES RP,ALLENDE TREJO ROBERTO ALEJANDRO,DIAZ RUIZ JOSE DANIEL,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,1,SENADORES RP,GALVEZ RUIZ BERTHA XOCHITL,BALLESTEROS MANCILLA LAURA IRAIS,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,2,SENADORES RP,ZEPEDA HERNANDEZ JUAN MANUEL,ZAMORA GUZMAN ROGELIO ISRAEL,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,3,SENADORES RP,CANCELADO,ARAGON CASTILLO HORTENSIA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,4,SENADORES RP,ZAMBRANO GRIJALVA JOSE DE JESUS,VILLA GONZALEZ ISAIAS,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,5,SENADORES RP,RUIZ BELTRAN MARGARITA,NAVARRO MURILLO GRISELDA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,6,SENADORES RP,ORDOÑEZ HERNANDEZ DANIEL,ESCALONA HERRERA FERNANDO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,7,SENADORES RP,UVALLE GALAZ RUBI ANDREA,DORANTES AVILA SAMANTA MARISOL,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,8,SENADORES RP,DE LA ROSA GARCIA ERICK ALAN,FLORES PEREYDA ALEJANDRO GONZALO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,9,SENADORES RP,GUARNEROS BAÑUELOS MARIA EUGENIA,VENTURA ACOSTA MARIA DEL CARMEN,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,10,SENADORES RP,TOYAMA MONTES BENJAMIN KOYIMA,VAZQUEZ CAMACHO ISAAC MARTIN,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,11,SENADORES RP,TORRES FLORES MARIA DEL CARMEN,PEREZ CANTORAN ROXANA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,12,SENADORES RP,CUEVAS RODRIGUEZ HUMBERTO ROMAN,CRUZ ORTIZ CENOBIO ELIGIO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,13,SENADORES RP,VALDEZ PIÑA ERENDIRA,LOPEZ ARREGUIN ALEJANDRA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,14,SENADORES RP,DUARTE CABRERA ISIDRO,TORRES CARBAJAL MARIO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,15,SENADORES RP,TREJO TREJO GABRIELA,LOPEZ ORDAZ ZORAYLA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,16,SENADORES RP,CRISTINO ROMERO JACOB,PEREZ ZAMORA RICARDO FABIAN,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,17,SENADORES RP,GARCIA CORONA JOCELYN JOYCE,ZARATE LOPEZ GABRIELA KAREN,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,18,SENADORES RP,CALTENCO SERRANO CARLOS FRANCISCO,RAMIREZ RAMIREZ SERGIO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,19,SENADORES RP,GARCIA PORTOCARRERO EDITH,RIOS LARA EUNICE,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,20,SENADORES RP,VAZQUEZ SOLIS GENARO,VAZQUEZ SOLIS ROQUE FILIBERTO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,21,SENADORES RP,PRECIADO ROMERO YAZMIN,ROMERO ROMERO ALINE,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,22,SENADORES RP,MENDEZ ARRIAGA RODRIGO,BARRIOS SANCHEZ HUGO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,23,SENADORES RP,TLALI ZUÑIGA ITZEL ALEJANDRA,ROSALES VILLEGAS LUCIA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,24,SENADORES RP,TABAREZ ANTUNEZ SAMUEL,QUINTANAR GALLEGOS MIGUEL ANGEL,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,25,SENADORES RP,RIVERA FLORES ELIZABETH,LOPEZ FACIO CLAUDIA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,26,SENADORES RP,LEON PEREZ DANIEL,ARAVEDO RAMOS ROBERTO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,27,SENADORES RP,CIRIACO BELMONT CAROLINA,PINTOR AGUILAR LILIANA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,28,SENADORES RP,MEJIA HERNANDEZ JOSE RAYMUNDO,SALDAÑA HERNANDEZ SANDRO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,29,SENADORES RP,RAMIREZ URZUA MARIA DE LOURDES,ZUMAYA GOMEZ KRYSTAL,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,30,SENADORES RP,QUINTERO HERNANDEZ JOSE DE JESUS,PEREZ SANCHEZ JESUS ALEJANDRO,H,H
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,31,SENADORES RP,PEREZ RIOS OLEIDA,SALINAS BENITEZ GENESIS ACELA,M,M
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,32,SENADORES RP,HERNANDEZ MARTINEZ JAIME ALVARO,VAZQUEZ FLORES GUILLERMO,H,H
PARTIDO DEL TRABAJO,1,SENADORES RP,BAÑUELOS DE LA TORRE GEOVANNA DEL CARMEN,HERNANDEZ NIÑO MARIA DE JESUS,M,M
PARTIDO DEL TRABAJO,2,SENADORES RP,ANAYA GUTIERREZ ALBERTO,BENAVIDES CASTAÑEDA JOSE ALBERTO,H,H
PARTIDO DEL TRABAJO,3,SENADORES RP,ARELLANO AVILA GISELLE YUNUEEN,ARREDONDO CAMPOS MARIA NANCY,M,M
PARTIDO DEL TRABAJO,4,SENADORES RP,PEÑA DELGADO ELIDIO,VAZQUEZ GONZALEZ ALEJANDRO,H,H
PARTIDO DEL TRABAJO,5,SENADORES RP,ALVAREZ  SONIA CATALINA,RAMOS ESPINOSA ROSA ELBA,M,M
PARTIDO DEL TRABAJO,6,SENADORES RP,ROBLERO GORDILLO HECTOR HUGO,SAMAYOA SANCHEZ QUEMPER,H,H
PARTIDO DEL TRABAJO,7,SENADORES RP,MARTINEZ ALFARO SILVIA,RAMIREZ HERNANDEZ MARIA MAGDALENA,M,M
PARTIDO DEL TRABAJO,8,SENADORES RP,CASTILLO CASTILLO MIGUEL ANGEL,ORTEGON IBARRA MARCO ANTONIO,H,H
PARTIDO DEL TRABAJO,9,SENADORES RP,GUERRA GARZA MARIA EUGENIA,MEDINA MIRANDA OLGA ALICIA,M,M
PARTIDO DEL TRABAJO,10,SENADORES RP,RUIZ FELIX DANIEL ADOLFO,RUIZ CALZADA ADOLFO,H,H
PARTIDO DEL TRABAJO,11,SENADORES RP,GARCIA AYALA OLGA LIDIA,MARTINEZ RAMIREZ LIZBET,M,M
PARTIDO DEL TRABAJO,12,SENADORES RP,ARMENTA RODRIGUEZ FLORENTINO JORGE ISAAC,VAZQUEZ GONZALEZ MARCO ANTONIO,H,H
PARTIDO DEL TRABAJO,13,SENADORES RP,VAZQUEZ PALACIOS ESMERALDA,VELAZQUEZ SANCHEZ CECILIA,M,M
PARTIDO DEL TRABAJO,14,SENADORES RP,MEZA CASTILLO ROLANDO,MARTINEZ MORENO ANDRES,H,H
PARTIDO DEL TRABAJO,15,SENADORES RP,GONZALEZ VILLALBA MONICA,ALVARADO REYES ANGELA,M,M
PARTIDO DEL TRABAJO,16,SENADORES RP,MARTINEZ TELLEZ LEONARDO ENRIQUE,GUTIERREZ TELLEZ ALFREDO,H,H
PARTIDO DEL TRABAJO,17,SENADORES RP,MENDEZ MENDEZ PATRICIA ELIDE,HERNANDEZ DE LA CRUZ ERIKA,M,M
PARTIDO DEL TRABAJO,18,SENADORES RP,LOPEZ BARRERA LUIS FABRICIO,DE LA ROSA ALVARADO JOEL,H,H
PARTIDO DEL TRABAJO,19,SENADORES RP,RODRIGUEZ MARTINEZ MIRIAM CAROLINA,CAAMAL SERRA YRMA TERESA,M,M
PARTIDO DEL TRABAJO,20,SENADORES RP,CASTILLO OJEDA FRANCISCO RAMON,CASTILLO VALLE JHONATAN FRANCISCO,H,H
PARTIDO DEL TRABAJO,21,SENADORES RP,CARRILLO SOSA MARIA ELENA,DIAZ LEON BEATRIZ DEL CARMEN,M,M
PARTIDO DEL TRABAJO,22,SENADORES RP,ACUÑA ARVALLO ENRIQUE ADIEL,BARRERA GARCIA ELISEO,H,H
PARTIDO DEL TRABAJO,23,SENADORES RP,PAREDES DE LA CRUZ DIANA YIRHAT,CONTRERAS GARCIA MARIA ANTONIA,M,M
PARTIDO DEL TRABAJO,24,SENADORES RP,LOPEZ DUARTE JOSE,LARA VAZQUEZ ATANACIO ANTONIO,H,H
PARTIDO DEL TRABAJO,25,SENADORES RP,ESCOBAR COTA DANIELA MARGARITA,BRAVO GONZALEZ IREM JANSEN,M,M
PARTIDO DEL TRABAJO,26,SENADORES RP,OSORIO LIZAMA VICTOR MANUEL,TRINIDAD LOPEZ ANDIYOEL,H,H
PARTIDO DEL TRABAJO,27,SENADORES RP,MARQUEZ AGUIRRE MARIA DE LOURDES,ALDRETE ESTALA ALEJANDRA,M,M
PARTIDO DEL TRABAJO,28,SENADORES RP,ROBLES RODRIGUEZ JUAN JAIME,ARROYO TORRES ANGEL DE JESUS,H,H
PARTIDO DEL TRABAJO,29,SENADORES RP,ROSILES DURAN ELIZABETH,ESCOBEDO ZAVALETA ERENDIRA,M,M
PARTIDO DEL TRABAJO,30,SENADORES RP,SANCHEZ VILLALVAZO HECTOR FERNANDO,BUSTAMANTE HERNANDEZ ALEJANDRO,H,H
PARTIDO DEL TRABAJO,31,SENADORES RP,CRUZ MONTENEGRO RUBI MARIBEL,CANTARELL RODRIGUEZ ELBA DEL SOCORRO,M,M
PARTIDO DEL TRABAJO,32,SENADORES RP,FRIAS HERNANDEZ ABEL,AVILA ESPINDOLA JOSE DANIEL,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES RP,LAGUNES SOTO RUÍZ ALEJANDRA,GARCÍA TREVIÑO DANIELA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES RP,VELASCO COELLO MANUEL,MURAT HINOJOSA EDUARDO ENRIQUE,H,H
