ESTADO_ELECCION,NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
DURANGO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,SOTO NAVA MARIA GUADALUPE,CAMPOS VEGA MIRYAM KARINA,M,M
DURANGO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,MARTINEZ MUÑOZ RAUL,SOTELO HERNANDEZ MIGUEL ANGEL,H,H
GUANAJUATO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,PINEDA MARTINEZ VICTOR HUGO,GÓMEZ SALAZAR JORGE,H,H
GUANAJUATO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,ÁLVAREZ PÉREZ MARISOL,ALVARADO ESTRADA RUTH,M,M
JALISCO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,JHEMAN ZETINA ARTURO ALBERTO,GASPAR ECHEAGARAY RODOLFO,H,H
JALISCO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,CEBALLOS GONZALEZ LEONOR,SENTIES RIVAS MARIA DE LOURDES,M,M
MICHOACAN,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,HERRERA PEREZ GERARDO ANDRES,ORNELAS FERREIRA SALVADOR,H,H
MICHOACAN,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,AGUIRRE OCHOA MARX,ARREDONDO LOPEZ LILIANA BERENICE,M,M
NAYARIT,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,RANGEL LOMELI SANDRA LUZ,RODRIGUEZ MONTAÑO ANA LILIANA,M,M
NAYARIT,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,CASTAÑEDA IBARRA JAVIER,CASTAÑEDA RAMIREZ JUAN CARLOS,H,H
NUEVO LEON,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,PLANCARTE DE LA GARZA RODRIGO,GARZA VAZQUEZ LUIS GERARDO,H,H
NUEVO LEON,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,VELAZQUEZ LUNA LIZETH ANALI,PEÑA LUCIO BRENDA ALEJANDRA,M,M
PUEBLA,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,GONZALEZ CERVANTES GERALDINE,TORRES SALCEDO MARIA DEL ROSARIO,M,M
PUEBLA,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,NATALE LOPEZ JUAN CARLOS,VALENCIA JUAREZ EDUARDO JAVIER,H,H
QUERETARO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,GARCIA UGALDE IMELDA,PEREYRA SANCHEZ GRACIELA SOLEDAD,M,M
QUERETARO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,ORTA CENTENO MARIA JULIA,LEGARRETA DE LA FUENTE XIMENA,M,M
TABASCO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,ARANGUREN ROSIQUE NORMA ARACELI,DE LA CRUZ GOMEZ ARACELI,M,M
TABASCO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,SANCHEZ CARRILLO MANUELA,CORREA LEON EVA DEL CARMEN,M,M
TAMAULIPAS,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,KING LOPEZ PATRICIO EDGAR,CISNEROS RAMIREZ MARCELINO,H,H
TAMAULIPAS,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,SOLIS GUITERREZ MELVA EGLEYDE,PEREZ LÓPEZ MARISA LIBRADA,M,M
MORELOS,MOVIMIENTO CIUDADANO,1,SENADORES MR,ORTEGA DE LA CRUZ JESSICA MARIA GUADALUPE,MARTINEZ MARTINEZ MIRELLE VIRIDIANA,M,M
MORELOS,MOVIMIENTO CIUDADANO,2,SENADORES MR,ALVAREZ ICAZA LONGORIA JOSE,MARROQUIN BASAVE ALEJANDRO,H,H
NUEVO LEON,MOVIMIENTO CIUDADANO,1,SENADORES MR,GARCIA SEPULVEDA SAMUEL ALEJANDRO,ORTIZ SALINAS LUIS DAVID,H,H
NUEVO LEON,MOVIMIENTO CIUDADANO,2,SENADORES MR,KEMPIS MARTINEZ INDIRA,LUQUE RANGEL MARCELA,M,M
